Date,Open,High,Low,Close,Percent_Change
2021-05-06,117.53,119.14,117.12,119.07,1.31
2021-05-07,120.0,120.82,119.5,119.93,-0.05
2021-05-10,118.74,118.9,116.74,117.08,-1.4
2021-05-11,114.59,116.1,114.15,115.44,0.74
2021-05-12,113.09,114.27,111.5,111.95,-1.0
2021-05-13,113.05,113.83,112.14,113.1,0.04
2021-05-14,114.59,116.06,114.17,115.81,1.06
2021-05-17,115.47,116.17,114.75,116.07,0.52
2021-05-18,116.85,117.16,115.16,115.17,-1.43
2021-05-19,113.22,115.84,113.18,115.44,1.96
2021-05-20,116.4,118.02,116.05,117.8,1.2
2021-05-21,118.3,118.45,117.12,117.25,-0.88
2021-05-24,118.35,120.92,118.01,120.33,1.68
2021-05-25,121.0,121.64,120.15,120.45,-0.45
2021-05-26,120.64,122.15,120.63,121.68,0.86
2021-05-27,121.85,122.0,120.1,120.13,-1.41
2021-05-28,121.1,121.41,120.38,120.58,-0.43
2021-06-01,121.1,121.9,120.24,121.49,0.32
2021-06-02,121.77,122.1,120.21,121.06,-0.58
2021-06-03,119.75,120.49,119.14,120.23,0.4
2021-06-04,121.13,122.69,120.89,122.59,1.21
2021-06-07,122.57,123.4,122.05,123.3,0.6
2021-06-08,124.0,124.72,123.41,124.14,0.12
2021-06-09,124.97,125.25,124.37,124.57,-0.32
2021-06-10,124.7,126.16,124.7,126.08,1.11
2021-06-11,126.25,126.35,124.91,125.7,-0.44
2021-06-14,125.67,126.41,125.05,126.35,0.54
2021-06-15,126.52,126.86,125.65,126.03,-0.39
2021-06-16,126.25,126.52,124.15,125.7,-0.44
2021-06-17,125.52,127.2,125.51,126.37,0.68
2021-06-18,125.71,126.39,124.6,125.57,-0.11
2021-06-21,125.74,127.04,125.13,126.46,0.57
2021-06-22,126.45,127.27,126.03,127.0,0.43
2021-06-23,126.55,127.8,126.25,126.46,-0.07
2021-06-24,127.05,127.54,126.96,127.28,0.18
2021-06-25,126.96,127.5,126.44,127.0,0.03
2021-06-28,127.0,127.34,125.97,126.82,-0.14
2021-06-29,126.77,127.0,125.44,126.02,-0.59
2021-06-30,125.65,125.8,124.76,125.32,-0.27
2021-07-01,124.85,126.46,124.85,126.37,1.22
2021-07-02,126.84,128.85,126.77,128.72,1.48
2021-07-06,129.45,129.88,128.41,129.77,0.25
2021-07-07,130.34,130.64,129.76,130.08,-0.2
2021-07-08,128.25,130.03,128.04,129.18,0.72
2021-07-09,128.94,129.85,128.94,129.57,0.49
2021-07-12,129.83,130.77,129.6,130.56,0.56
2021-07-13,130.88,132.04,130.64,130.99,0.09
2021-07-14,131.9,133.0,131.9,132.08,0.14
2021-07-15,132.5,132.6,130.6,131.27,-0.93
2021-07-16,131.64,132.18,130.82,131.85,0.16
2021-07-19,131.16,131.25,128.54,129.25,-1.45
2021-07-20,130.0,132.0,129.19,131.1,0.84
2021-07-21,130.79,132.62,130.6,132.6,1.39
2021-07-22,132.65,133.5,132.4,133.33,0.51
2021-07-23,135.26,138.81,134.7,137.82,1.89
2021-07-26,138.25,139.71,137.65,139.64,1.01
2021-07-27,140.01,140.01,135.1,136.8,-2.3
2021-07-28,138.56,139.68,136.35,136.38,-1.57
2021-07-29,136.38,137.15,136.14,136.54,0.12
2021-07-30,135.51,135.77,134.81,135.22,-0.21
2021-08-02,135.48,136.02,134.67,135.99,0.37
2021-08-03,136.0,136.34,134.18,136.28,0.21
2021-08-04,136.25,136.54,135.41,136.03,-0.16
2021-08-05,136.03,136.95,135.6,136.94,0.67
2021-08-06,136.29,137.08,136.05,137.04,0.54
2021-08-09,136.95,138.32,136.43,138.0,0.77
2021-08-10,138.08,138.55,137.23,138.1,0.01
2021-08-11,138.28,138.85,137.35,137.69,-0.43
2021-08-12,137.71,138.42,136.78,138.39,0.49
2021-08-13,138.36,138.67,138.01,138.41,0.04
2021-08-16,138.0,138.99,136.17,138.92,0.66
2021-08-17,138.19,138.72,136.79,137.3,-0.64
2021-08-18,137.12,138.29,136.42,136.57,-0.4
2021-08-19,135.47,137.45,135.36,136.91,1.07
2021-08-20,137.08,138.61,136.47,138.44,0.99
2021-08-23,139.0,142.18,138.75,141.1,1.51
2021-08-24,141.54,143.01,141.35,142.4,0.6
2021-08-25,142.88,143.31,142.44,142.95,0.05
2021-08-26,142.62,143.13,142.09,142.12,-0.35
2021-08-27,142.11,145.01,142.02,144.55,1.72
2021-08-30,144.7,146.49,144.6,145.47,0.53
2021-08-31,145.88,146.11,145.0,145.46,-0.29
2021-09-01,145.65,146.82,145.61,145.84,0.13
2021-09-02,145.95,146.32,144.11,144.22,-1.19
2021-09-03,144.15,145.38,143.51,144.77,0.44
2021-09-07,144.75,145.82,144.54,145.52,0.53
2021-09-08,145.39,145.55,144.2,144.88,-0.35
2021-09-09,144.88,145.67,144.43,144.91,0.02
2021-09-10,145.44,146.02,141.74,141.92,-2.42
2021-09-13,143.2,144.19,142.28,143.46,0.18
2021-09-14,144.16,144.73,142.91,143.41,-0.52
2021-09-15,143.76,145.58,142.26,145.21,1.01
2021-09-16,145.12,145.2,143.42,144.37,-0.52
2021-09-17,143.8,144.25,141.06,141.46,-1.62
2021-09-20,139.0,139.36,137.05,139.02,0.01
2021-09-21,140.12,140.81,138.91,139.65,-0.34
2021-09-22,140.05,141.58,139.47,140.94,0.63
2021-09-23,141.61,142.25,141.1,141.83,0.15
2021-09-24,140.95,142.9,140.85,142.63,1.2
2021-09-27,141.59,142.5,140.5,141.5,-0.06
2021-09-28,139.09,139.61,135.7,136.18,-2.09
2021-09-29,137.11,137.4,134.25,134.52,-1.89
2021-09-30,134.32,135.59,133.0,133.27,-0.79
2021-10-01,133.55,137.07,133.38,136.46,2.18
2021-10-04,135.7,135.7,131.17,133.76,-1.43
2021-10-05,134.0,137.36,134.0,136.18,1.62
2021-10-06,134.63,137.85,134.49,137.35,2.03
2021-10-07,138.86,140.15,138.56,139.19,0.23
2021-10-08,139.91,140.32,139.43,140.06,0.11
2021-10-11,139.8,140.76,138.81,138.85,-0.68
2021-10-12,139.64,139.7,136.25,136.71,-2.09
2021-10-13,137.75,138.55,136.98,137.9,0.11
2021-10-14,139.95,141.65,139.34,141.41,1.04
2021-10-15,142.2,142.2,141.06,141.68,-0.37
2021-10-18,141.21,143.0,141.21,142.96,1.24
2021-10-19,143.29,144.11,143.1,143.82,0.37
2021-10-20,144.22,144.25,141.91,142.41,-1.25
2021-10-21,142.19,142.85,141.64,142.78,0.41
2021-10-22,140.35,141.56,137.17,138.62,-1.23
2021-10-25,138.81,139.21,136.75,138.77,-0.03
2021-10-26,140.61,140.84,139.01,139.67,-0.66
2021-10-27,139.9,149.12,139.9,146.43,4.66
2021-10-28,147.3,147.42,144.76,146.13,-0.79
2021-10-29,145.52,148.61,145.17,148.27,1.89
2021-11-01,148.16,148.4,143.58,143.77,-2.96
2021-11-02,144.81,146.92,144.64,145.86,0.73
2021-11-03,146.27,146.91,145.05,146.79,0.35
2021-11-04,147.2,149.95,146.63,148.68,1.01
2021-11-05,149.35,150.57,148.65,149.24,-0.08
2021-11-08,150.0,151.03,149.12,149.35,-0.43
2021-11-09,149.75,150.38,147.51,149.25,-0.33
2021-11-10,148.01,148.7,145.32,146.63,-0.93
2021-11-11,147.11,148.5,146.69,146.75,-0.24
2021-11-12,147.83,149.86,146.45,149.65,1.23
2021-11-15,150.0,150.48,148.65,149.39,-0.41
2021-11-16,149.17,149.83,148.35,149.08,-0.06
2021-11-17,149.23,149.63,148.56,149.06,-0.11
2021-11-18,149.15,151.61,149.0,150.71,1.05
2021-11-19,151.0,151.85,149.89,149.95,-0.69
2021-11-22,150.14,150.74,147.01,147.08,-2.04
2021-11-23,147.11,147.69,144.89,146.76,-0.24
2021-11-24,146.35,147.0,145.2,146.72,0.25
2021-11-26,145.02,145.3,142.49,142.81,-1.52
2021-11-29,144.3,146.86,144.3,146.11,1.26
2021-11-30,145.45,146.63,142.07,142.45,-2.06
2021-12-01,144.21,146.5,141.5,141.62,-1.8
2021-12-02,141.82,144.68,140.98,143.78,1.38
2021-12-03,144.5,145.21,141.15,142.52,-1.37
2021-12-06,143.57,144.35,140.65,143.8,0.15
2021-12-07,145.95,148.3,145.7,148.04,1.43
2021-12-08,148.33,149.16,147.2,148.72,0.26
2021-12-09,148.18,149.6,147.53,148.11,-0.05
2021-12-10,149.1,149.4,147.36,148.68,-0.29
2021-12-13,148.44,148.56,146.36,146.7,-1.17
2021-12-14,144.77,145.44,142.24,144.97,0.14
2021-12-15,144.37,147.52,142.71,147.37,2.08
2021-12-16,148.08,148.55,144.09,144.84,-2.19
2021-12-17,142.71,144.46,141.79,142.8,0.06
2021-12-20,140.68,142.61,140.25,142.4,1.22
2021-12-21,143.15,144.69,141.74,144.22,0.75
2021-12-22,144.1,147.3,143.96,146.95,1.98
2021-12-23,147.09,148.57,146.95,147.14,0.04
2021-12-27,147.46,148.43,147.25,148.06,0.41
2021-12-28,148.37,148.37,145.94,146.45,-1.3
2021-12-29,146.43,147.18,145.5,146.5,0.05
2021-12-30,146.45,147.06,145.76,146.0,-0.31
2021-12-31,145.54,146.37,144.68,144.68,-0.59
2022-01-03,144.48,145.55,143.5,145.07,0.41
